,Season,Team_footywire,Player,SC_footywire,season_team_name_id,Player ID,Year,Team_fanfooty,Full Name,SC_fanfooty,fuzzy_match_name,fuzzy_season_team_name
0,2011,North Melbourne,Aaron Black,33.0,2011_North Melbourne_Aaron Black,291672.0,2011.0,North Melbourne,Aaron Black,33.0,,
1,2012,North Melbourne,Aaron Black,49.666666666666664,2012_North Melbourne_Aaron Black,291672.0,2012.0,North Melbourne,Aaron Black,49.666666666666664,,
2,2013,North Melbourne,Aaron Black,76.55555555555556,2013_North Melbourne_Aaron Black,291672.0,2013.0,North Melbourne,Aaron Black,76.38888888888889,,
3,2014,North Melbourne,Aaron Black,56.68,2014_North Melbourne_Aaron Black,291672.0,2014.0,North Melbourne,Aaron Black,56.68,,
4,2015,North Melbourne,Aaron Black,42.0,2015_North Melbourne_Aaron Black,291672.0,2015.0,North Melbourne,Aaron Black,42.0,,
5,2017,Geelong,Aaron Black,66.25,2017_Geelong_Aaron Black,291672.0,2017.0,Geelong,Aaron Black,66.25,,
6,2018,Geelong,Aaron Black,66.33333333333333,2018_Geelong_Aaron Black,291672.0,2018.0,Geelong,Aaron Black,66.33333333333333,,
7,2010,Brisbane,Aaron Cornelius,56.0,2010_Brisbane_Aaron Cornelius,261391.0,2010.0,Brisbane,Aaron Cornelius,52.0,,
8,2011,Brisbane,Aaron Cornelius,48.5,2011_Brisbane_Aaron Cornelius,261391.0,2011.0,Brisbane,Aaron Cornelius,48.5,,
9,2012,Brisbane,Aaron Cornelius,47.875,2012_Brisbane_Aaron Cornelius,261391.0,2012.0,Brisbane,Aaron Cornelius,47.25,,
10,2013,Brisbane,Aaron Cornelius,42.0,2013_Brisbane_Aaron Cornelius,261391.0,2013.0,Brisbane,Aaron Cornelius,42.0,,
11,2010,Melbourne,Aaron Davey,76.0625,2010_Melbourne_Aaron Davey,200002.0,2010.0,Melbourne,Aaron Davey,75.47058823529412,,
12,2011,Melbourne,Aaron Davey,68.27272727272727,2011_Melbourne_Aaron Davey,200002.0,2011.0,Melbourne,Aaron Davey,68.27272727272727,,
13,2012,Melbourne,Aaron Davey,62.625,2012_Melbourne_Aaron Davey,200002.0,2012.0,Melbourne,Aaron Davey,62.625,,
14,2013,Melbourne,Aaron Davey,45.2,2013_Melbourne_Aaron Davey,200002.0,2013.0,Melbourne,Aaron Davey,45.2,,
15,2010,North Melbourne,Aaron Edwards,68.83333333333333,2010_North Melbourne_Aaron Edwards,230240.0,2010.0,North Melbourne,Aaron Edwards,68.38461538461539,,
16,2011,North Melbourne,Aaron Edwards,69.47368421052632,2011_North Melbourne_Aaron Edwards,230240.0,2011.0,North Melbourne,Aaron Edwards,69.47368421052632,,
17,2012,North Melbourne,Aaron Edwards,68.66666666666667,2012_North Melbourne_Aaron Edwards,230240.0,2012.0,North Melbourne,Aaron Edwards,68.77777777777777,,
18,2013,Richmond,Aaron Edwards,84.66666666666667,2013_Richmond_Aaron Edwards,230240.0,2013.0,Richmond,Aaron Edwards,84.66666666666667,,
19,2014,Richmond,Aaron Edwards,60.0,2014_Richmond_Aaron Edwards,230240.0,2014.0,Richmond,Aaron Edwards,60.0,,
20,2016,Essendon,Aaron Francis,59.666666666666664,2016_Essendon_Aaron Francis,990816.0,2016.0,Essendon,Aaron Francis,59.666666666666664,,
21,2017,Essendon,Aaron Francis,50.0,2017_Essendon_Aaron Francis,990816.0,2017.0,Essendon,Aaron Francis,50.0,,
22,2018,Essendon,Aaron Francis,80.8,2018_Essendon_Aaron Francis,990816.0,2018.0,Essendon,Aaron Francis,80.8,,
23,2019,Essendon,Aaron Francis,66.41176470588235,2019_Essendon_Aaron Francis,990816.0,2019.0,Essendon,Aaron Francis,66.41176470588235,,
24,2012,Gold Coast,Aaron Hall,60.25,2012_Gold Coast_Aaron Hall,296735.0,2012.0,Gold Coast,Aaron Hall,59.75,,
25,2013,Gold Coast,Aaron Hall,62.72727272727273,2013_Gold Coast_Aaron Hall,296735.0,2013.0,Gold Coast,Aaron Hall,62.72727272727273,,
26,2014,Gold Coast,Aaron Hall,59.1875,2014_Gold Coast_Aaron Hall,296735.0,2014.0,Gold Coast,Aaron Hall,59.1875,,
27,2015,Gold Coast,Aaron Hall,79.33333333333333,2015_Gold Coast_Aaron Hall,296735.0,2015.0,Gold Coast,Aaron Hall,78.4,,
28,2016,Gold Coast,Aaron Hall,95.52941176470588,2016_Gold Coast_Aaron Hall,296735.0,2016.0,Gold Coast,Aaron Hall,98.25,,
29,2017,Gold Coast,Aaron Hall,92.26315789473684,2017_Gold Coast_Aaron Hall,296735.0,2017.0,Gold Coast,Aaron Hall,92.3157894736842,,
30,2018,Gold Coast,Aaron Hall,79.66666666666667,2018_Gold Coast_Aaron Hall,296735.0,2018.0,Gold Coast,Aaron Hall,79.66666666666667,,
31,2019,North Melbourne,Aaron Hall,73.0,2019_North Melbourne_Aaron Hall,296735.0,2019.0,North Melbourne,Aaron Hall,75.83333333333333,,
32,2010,Carlton,Aaron Joseph,58.666666666666664,2010_Carlton_Aaron Joseph,261318.0,2010.0,Carlton,Aaron Joseph,56.611111111111114,,
33,2011,Carlton,Aaron Joseph,55.0,2011_Carlton_Aaron Joseph,261318.0,2011.0,Carlton,Aaron Joseph,55.0,,
34,2012,Carlton,Aaron Joseph,50.07692307692308,2012_Carlton_Aaron Joseph,261318.0,2012.0,Carlton,Aaron Joseph,50.07692307692308,,
35,2013,Carlton,Aaron Joseph,35.5,2013_Carlton_Aaron Joseph,261318.0,2013.0,Carlton,Aaron Joseph,35.5,,
36,2011,North Melbourne,Aaron Mullett,41.333333333333336,2011_North Melbourne_Aaron Mullett,291445.0,2011.0,North Melbourne,Aaron Mullett,41.333333333333336,,
37,2012,North Melbourne,Aaron Mullett,52.166666666666664,2012_North Melbourne_Aaron Mullett,291445.0,2012.0,North Melbourne,Aaron Mullett,52.166666666666664,,
38,2013,North Melbourne,Aaron Mullett,77.81818181818181,2013_North Melbourne_Aaron Mullett,291445.0,2013.0,North Melbourne,Aaron Mullett,77.77272727272727,,
39,2014,North Melbourne,Aaron Mullett,58.529411764705884,2014_North Melbourne_Aaron Mullett,291445.0,2014.0,North Melbourne,Aaron Mullett,58.529411764705884,,
40,2015,North Melbourne,Aaron Mullett,37.0,2015_North Melbourne_Aaron Mullett,291445.0,2015.0,North Melbourne,Aaron Mullett,36.0,,
41,2016,North Melbourne,Aaron Mullett,61.266666666666666,2016_North Melbourne_Aaron Mullett,291445.0,2016.0,North Melbourne,Aaron Mullett,61.266666666666666,,
42,2017,North Melbourne,Aaron Mullett,80.16666666666667,2017_North Melbourne_Aaron Mullett,291445.0,2017.0,North Melbourne,Aaron Mullett,80.11111111111111,,
43,2018,Carlton,Aaron Mullett,60.61538461538461,2018_Carlton_Aaron Mullett,291445.0,2018.0,Carlton,Aaron Mullett,60.61538461538461,,
44,2018,Western Bulldogs,Aaron Naughton,57.27777777777778,2018_Western Bulldogs_Aaron Naughton,1002404.0,2018.0,Western Bulldogs,Aaron Naughton,57.27777777777778,,
45,2019,Western Bulldogs,Aaron Naughton,65.44,2019_Western Bulldogs_Aaron Naughton,1002404.0,2019.0,Western Bulldogs,Aaron Naughton,66.8695652173913,,
46,2010,Fremantle,Aaron Sandilands,108.41176470588235,2010_Fremantle_Aaron Sandilands,220096.0,2010.0,Fremantle,Aaron Sandilands,108.61111111111111,,
47,2011,Fremantle,Aaron Sandilands,110.76923076923077,2011_Fremantle_Aaron Sandilands,220096.0,2011.0,Fremantle,Aaron Sandilands,110.76923076923077,,
48,2012,Fremantle,Aaron Sandilands,109.07142857142857,2012_Fremantle_Aaron Sandilands,220096.0,2012.0,Fremantle,Aaron Sandilands,108.42857142857143,,
49,2013,Fremantle,Aaron Sandilands,79.0,2013_Fremantle_Aaron Sandilands,220096.0,2013.0,Fremantle,Aaron Sandilands,79.0,,
50,2014,Fremantle,Aaron Sandilands,108.34782608695652,2014_Fremantle_Aaron Sandilands,220096.0,2014.0,Fremantle,Aaron Sandilands,108.26086956521739,,
51,2015,Fremantle,Aaron Sandilands,107.47826086956522,2015_Fremantle_Aaron Sandilands,220096.0,2015.0,Fremantle,Aaron Sandilands,107.26086956521739,,
52,2016,Fremantle,Aaron Sandilands,70.8,2016_Fremantle_Aaron Sandilands,220096.0,2016.0,Fremantle,Aaron Sandilands,70.8,,
53,2017,Fremantle,Aaron Sandilands,87.3,2017_Fremantle_Aaron Sandilands,220096.0,2017.0,Fremantle,Aaron Sandilands,87.4,,
54,2018,Fremantle,Aaron Sandilands,97.45454545454545,2018_Fremantle_Aaron Sandilands,220096.0,2018.0,Fremantle,Aaron Sandilands,97.45454545454545,,
55,2019,Fremantle,Aaron Sandilands,85.33333333333333,2019_Fremantle_Aaron Sandilands,220096.0,2019.0,Fremantle,Aaron Sandilands,85.33333333333333,,
56,2015,Melbourne,Aaron Vandenberg,75.28571428571429,2015_Melbourne_Aaron Vandenberg,297990.0,2015.0,Melbourne,Aaron Vandenberg,74.92857142857143,,
57,2016,Melbourne,Aaron Vandenberg,63.5,2016_Melbourne_Aaron Vandenberg,297990.0,2016.0,Melbourne,Aaron Vandenberg,63.5,,
58,2018,Melbourne,Aaron Vandenberg,66.42857142857143,2018_Melbourne_Aaron Vandenberg,297990.0,2018.0,Melbourne,Aaron Vandenberg,66.42857142857143,,
59,2012,Port Adelaide,Aaron Young,42.166666666666664,2012_Port Adelaide_Aaron Young,290546.0,2012.0,Port Adelaide,Aaron Young,42.166666666666664,,
60,2013,Port Adelaide,Aaron Young,54.6,2013_Port Adelaide_Aaron Young,290546.0,2013.0,Port Adelaide,Aaron Young,54.6,,
61,2014,Port Adelaide,Aaron Young,45.5,2014_Port Adelaide_Aaron Young,290546.0,2014.0,Port Adelaide,Aaron Young,45.5,,
62,2015,Port Adelaide,Aaron Young,46.81818181818182,2015_Port Adelaide_Aaron Young,290546.0,2015.0,Port Adelaide,Aaron Young,46.81818181818182,,
63,2016,Port Adelaide,Aaron Young,78.42857142857143,2016_Port Adelaide_Aaron Young,290546.0,2016.0,Port Adelaide,Aaron Young,78.14285714285714,,
64,2017,Port Adelaide,Aaron Young,57.0,2017_Port Adelaide_Aaron Young,290546.0,2017.0,Port Adelaide,Aaron Young,57.23076923076923,,
65,2018,Gold Coast,Aaron Young,60.0,2018_Gold Coast_Aaron Young,290546.0,2018.0,Gold Coast,Aaron Young,60.0,,
66,2019,Gold Coast,Aaron Young,43.5,2019_Gold Coast_Aaron Young,290546.0,2019.0,Gold Coast,Aaron Young,43.5,,
67,2013,West Coast,Adam Carter,47.8,2013_West Coast_Adam Carter,294496.0,2013.0,West Coast,Adam Carter,47.8,,
68,2014,West Coast,Adam Carter,42.0,2014_West Coast_Adam Carter,294496.0,2014.0,West Coast,Adam Carter,42.0,,
69,2018,Fremantle,Adam Cerra,60.714285714285715,2018_Fremantle_Adam Cerra,1002239.0,2018.0,Fremantle,Adam Cerra,60.714285714285715,,
70,2019,Fremantle,Adam Cerra,62.63636363636363,2019_Fremantle_Adam Cerra,1002239.0,2019.0,Fremantle,Adam Cerra,62.45,,
71,2010,Western Bulldogs,Adam Cooney,95.0625,2010_Western Bulldogs_Adam Cooney,230041.0,2010.0,Western Bulldogs,Adam Cooney,94.70588235294117,,
72,2011,Western Bulldogs,Adam Cooney,81.07692307692308,2011_Western Bulldogs_Adam Cooney,230041.0,2011.0,Western Bulldogs,Adam Cooney,81.07692307692308,,
73,2012,Western Bulldogs,Adam Cooney,75.71428571428571,2012_Western Bulldogs_Adam Cooney,230041.0,2012.0,Western Bulldogs,Adam Cooney,75.28571428571429,,
74,2013,Western Bulldogs,Adam Cooney,98.52631578947368,2013_Western Bulldogs_Adam Cooney,230041.0,2013.0,Western Bulldogs,Adam Cooney,98.73684210526316,,
75,2014,Western Bulldogs,Adam Cooney,80.72222222222223,2014_Western Bulldogs_Adam Cooney,230041.0,2014.0,Western Bulldogs,Adam Cooney,80.72222222222223,,
76,2015,Essendon,Adam Cooney,66.18181818181819,2015_Essendon_Adam Cooney,230041.0,2015.0,Essendon,Adam Cooney,65.9090909090909,,
77,2016,Essendon,Adam Cooney,81.65,2016_Essendon_Adam Cooney,230041.0,2016.0,Essendon,Adam Cooney,81.4,,
78,2010,Sydney,Adam Goodes,97.4,2010_Sydney_Adam Goodes,980073.0,2010.0,Sydney,Adam Goodes,96.38095238095238,,
79,2011,Sydney,Adam Goodes,108.33333333333333,2011_Sydney_Adam Goodes,980073.0,2011.0,Sydney,Adam Goodes,108.33333333333333,,
80,2012,Sydney,Adam Goodes,94.47368421052632,2012_Sydney_Adam Goodes,980073.0,2012.0,Sydney,Adam Goodes,94.36842105263158,,
81,2013,Sydney,Adam Goodes,84.25,2013_Sydney_Adam Goodes,980073.0,2013.0,Sydney,Adam Goodes,84.5,,
82,2014,Sydney,Adam Goodes,68.1,2014_Sydney_Adam Goodes,980073.0,2014.0,Sydney,Adam Goodes,68.1,,
