,year,date,venue,crowd,match_id,home_team,away_team,home_team_score,away_team_score
0,2010, Thu 25 Mar 7:10pm,MCG,72010,5089,Richmond, Carlton,64,120
1,2010, Fri 26 Mar 7:40pm,MCG,57772,5090,Geelong, Essendon,125,94
2,2010, Sat 27 Mar 2:10pm,MCG,45615,5091,Melbourne, Hawthorn,61,117
3,2010, Sat 27 Mar 7:10pm,ANZ Stadium,31330,5093,Sydney, St Kilda,88,96
4,2010, Sat 27 Mar 7:30pm,Gabba,29201,5092,Brisbane, West Coast,114,82
5,2010, Sun 28 Mar 12:40pm,AAMI Stadium,21205,5094,Port Adelaide, North Melbourne,96,82
6,2010, Sun 28 Mar 2:10pm,Marvel Stadium,49000,5095,Western Bulldogs, Collingwood,93,129
7,2010, Sun 28 Mar 5:10pm,Domain Stadium,30976,5096,Fremantle, Adelaide,118,62
8,2010, Thu 1 Apr 7:40pm,Gabba,36780,5081,Brisbane, Carlton,107,88
9,2010, Sat 3 Apr 2:10pm,MCG,50421,5082,Collingwood, Melbourne,86,85
10,2010, Sat 3 Apr 5:40pm,Domain Stadium,37010,5083,West Coast, Port Adelaide,86,89
11,2010, Sat 3 Apr 7:10pm,Marvel Stadium,32006,5084,St Kilda, North Melbourne,143,39
12,2010, Sun 4 Apr 12:40pm,AAMI Stadium,36041,5085,Adelaide, Sydney,75,118
13,2010, Sun 4 Apr 2:10pm,Marvel Stadium,29651,5086,Essendon, Fremantle,69,113
14,2010, Sun 4 Apr 4:40pm,MCG,27358,5087,Richmond, Western Bulldogs,48,120
15,2010, Mon 5 Apr 2:10pm,MCG,68628,5088,Hawthorn, Geelong,91,100
16,2010, Fri 9 Apr 7:40pm,Marvel Stadium,49669,4985,St Kilda, Collingwood,69,41
17,2010, Sat 10 Apr 2:10pm,Marvel Stadium,18394,4986,North Melbourne, West Coast,116,91
18,2010, Sat 10 Apr 2:40pm,AAMI Stadium,23306,4989,Port Adelaide, Brisbane,81,108
19,2010, Sat 10 Apr 7:10pm,SCG,28414,4987,Sydney, Richmond,111,56
20,2010, Sat 10 Apr 7:10pm,MCG,71006,4988,Carlton, Essendon,75,95
21,2010, Sun 11 Apr 1:10pm,MCG,23335,4990,Melbourne, Adelaide,57,41
22,2010, Sun 11 Apr 2:10pm,Marvel Stadium,35933,4991,Western Bulldogs, Hawthorn,100,84
23,2010, Sun 11 Apr 2:40pm,Domain Stadium,38762,4992,Fremantle, Geelong,125,118
24,2010, Fri 16 Apr 6:40pm,Domain Stadium,38676,5065,West Coast, Essendon,101,78
25,2010, Sat 17 Apr 2:10pm,Marvel Stadium,23646,5066,North Melbourne, Sydney,60,100
26,2010, Sat 17 Apr 2:40pm,AAMI Stadium,38321,5067,Adelaide, Carlton,55,103
27,2010, Sat 17 Apr 7:10pm,MCG,67668,5069,Collingwood, Hawthorn,123,59
28,2010, Sat 17 Apr 7:10pm,Gabba,33323,5068,Brisbane, Western Bulldogs,101,79
29,2010, Sun 18 Apr 1:10pm,MCG,42594,5070,Richmond, Melbourne,78,133
30,2010, Sun 18 Apr 2:10pm,GMHBA Stadium,25579,5071,Geelong, Port Adelaide,159,64
31,2010, Sun 18 Apr 4:40pm,Marvel Stadium,29814,5072,St Kilda, Fremantle,108,93
32,2010, Fri 23 Apr 7:40pm,Marvel Stadium,26884,4993,Western Bulldogs, Adelaide,121,72
33,2010, Sat 24 Apr 2:15pm,SCG,28422,4994,Sydney, West Coast,115,63
34,2010, Sat 24 Apr 7:10pm,MCG,36396,4995,Melbourne, Brisbane,103,53
35,2010, Sat 24 Apr 7:15pm,AAMI Stadium,23355,4996,Port Adelaide, St Kilda,54,44
36,2010, Sun 25 Apr 2:40pm,MCG,90070,4997,Collingwood, Essendon,120,55
37,2010, Sun 25 Apr 5:40pm,UTAS Stadium,16301,4998,Hawthorn, North Melbourne,70,82
38,2010, Sun 25 Apr 6:45pm,Domain Stadium,38010,4999,Fremantle, Richmond,112,73
39,2010, Mon 26 Apr 2:10pm,MCG,71399,5000,Carlton, Geelong,104,68
40,2010, Fri 30 Apr 7:40pm,Marvel Stadium,43072,5113,Western Bulldogs, St Kilda,46,49
41,2010, Sat 1 May 2:10pm,Marvel Stadium,26763,5114,North Melbourne, Melbourne,104,78
42,2010, Sat 1 May 2:40pm,AAMI Stadium,40371,5115,Adelaide, Port Adelaide,74,97
43,2010, Sat 1 May 7:10pm,SCG,30975,5117,Sydney, Brisbane,107,87
44,2010, Sat 1 May 7:10pm,MCG,61006,5116,Essendon, Hawthorn,106,63
45,2010, Sun 2 May 1:10pm,GMHBA Stadium,24106,5118,Geelong, Richmond,161,53
46,2010, Sun 2 May 2:10pm,MCG,80645,5119,Carlton, Collingwood,102,155
47,2010, Sun 2 May 2:40pm,Domain Stadium,40886,5120,West Coast, Fremantle,73,111
48,2010, Fri 7 May 7:40pm,MCG,45444,4977,Melbourne, Western Bulldogs,66,70
49,2010, Sat 8 May 1:10pm,Domain Stadium,35864,4978,West Coast, Hawthorn,102,94
50,2010, Sat 8 May 2:10pm,Marvel Stadium,29248,4979,Essendon, Port Adelaide,106,109
51,2010, Sat 8 May 7:10pm,Gabba,27739,4980,Brisbane, Fremantle,100,113
52,2010, Sat 8 May 7:10pm,MCG,52696,4981,Collingwood, North Melbourne,157,91
53,2010, Sun 9 May 1:10pm,GMHBA Stadium,25970,4982,Geelong, Sydney,126,59
54,2010, Sun 9 May 4:10pm,AAMI Stadium,31196,4983,Adelaide, Richmond,104,54
55,2010, Mon 10 May 7:20pm,Marvel Stadium,42866,4984,St Kilda, Carlton,68,129
56,2010, Fri 14 May 6:40pm,Domain Stadium,41624,5009,Fremantle, Collingwood,97,133
57,2010, Sat 15 May 2:10pm,Canberra Oval,14308,5011,Western Bulldogs, Sydney,101,63
58,2010, Sat 15 May 2:10pm,MCG,28592,5010,Melbourne, West Coast,46,75
59,2010, Sat 15 May 7:10pm,Marvel Stadium,16479,5013,North Melbourne, Adelaide,84,75
60,2010, Sat 15 May 7:10pm,Gabba,33629,5012,Brisbane, Geelong,74,155
61,2010, Sun 16 May 1:10pm,MCG,41563,5014,Richmond, Hawthorn,86,89
62,2010, Sun 16 May 2:40pm,AAMI Stadium,30228,5015,Port Adelaide, Carlton,92,118
63,2010, Sun 16 May 4:40pm,Marvel Stadium,39204,5016,St Kilda, Essendon,81,93
