,year,date,venue,crowd,match_id,home_team,away_team,home_team_score,away_team_score,Match_id,AF_Away,AF_Home,SC_Away,SC_Home,match_result,match_result_home_margin,match_result_away_margin,sc_result,sc_correct?,af_result,af_correct?,diff_fantasy_result
0,2010, Thu 25 Mar 7:10pm,MCG,72010,5089,Richmond,Carlton,64,120,5089,1938,1250,1986,1321,away_win,-56,56,away_win,True,away_win,True,False
1,2010, Fri 26 Mar 7:40pm,MCG,57772,5090,Geelong,Essendon,125,94,5090,1503,1774,1523,1775,home_win,31,-31,home_win,True,home_win,True,False
2,2010, Sat 27 Mar 2:10pm,MCG,45615,5091,Melbourne,Hawthorn,61,117,5091,1863,1516,1829,1470,away_win,-56,56,away_win,True,away_win,True,False
3,2010, Sat 27 Mar 7:10pm,ANZ Stadium,31330,5093,Sydney,St Kilda,88,96,5093,1490,1532,1637,1661,away_win,-8,8,home_win,False,home_win,False,False
4,2010, Sat 27 Mar 7:30pm,Gabba,29201,5092,Brisbane,West Coast,114,82,5092,1543,1607,1609,1691,home_win,32,-32,home_win,True,home_win,True,False
5,2010, Sun 28 Mar 12:40pm,AAMI Stadium,21205,5094,Port Adelaide,North Melbourne,96,82,5094,1577,1544,1578,1721,home_win,14,-14,home_win,True,away_win,False,True
6,2010, Sun 28 Mar 2:10pm,Marvel Stadium,49000,5095,Western Bulldogs,Collingwood,93,129,5095,1700,1500,1795,1510,away_win,-36,36,away_win,True,away_win,True,False
7,2010, Sun 28 Mar 5:10pm,Domain Stadium,30976,5096,Fremantle,Adelaide,118,62,5096,1372,1740,1451,1848,home_win,56,-56,home_win,True,home_win,True,False
8,2010, Thu 1 Apr 7:40pm,Gabba,36780,5081,Brisbane,Carlton,107,88,5081,1442,1507,1654,1645,home_win,19,-19,away_win,False,home_win,True,True
9,2010, Sat 3 Apr 2:10pm,MCG,50421,5082,Collingwood,Melbourne,86,85,5082,1576,1531,1673,1629,home_win,1,-1,away_win,False,away_win,False,False
10,2010, Sat 3 Apr 5:40pm,Domain Stadium,37010,5083,West Coast,Port Adelaide,86,89,5083,1567,1530,1709,1592,away_win,-3,3,away_win,True,away_win,True,False
11,2010, Sat 3 Apr 7:10pm,Marvel Stadium,32006,5084,St Kilda,North Melbourne,143,39,5084,1395,1910,1303,1998,home_win,104,-104,home_win,True,home_win,True,False
12,2010, Sun 4 Apr 12:40pm,AAMI Stadium,36041,5085,Adelaide,Sydney,75,118,5085,1675,1404,1876,1423,away_win,-43,43,away_win,True,away_win,True,False
13,2010, Sun 4 Apr 2:10pm,Marvel Stadium,29651,5086,Essendon,Fremantle,69,113,5086,1483,1520,1638,1664,away_win,-44,44,home_win,False,home_win,False,False
14,2010, Sun 4 Apr 4:40pm,MCG,27358,5087,Richmond,Western Bulldogs,48,120,5087,1826,1289,1983,1316,away_win,-72,72,away_win,True,away_win,True,False
15,2010, Mon 5 Apr 2:10pm,MCG,68628,5088,Hawthorn,Geelong,91,100,5088,1709,1447,1890,1410,away_win,-9,9,away_win,True,away_win,True,False
16,2010, Fri 9 Apr 7:40pm,Marvel Stadium,49669,4985,St Kilda,Collingwood,69,41,4985,1400,1771,1507,1796,home_win,28,-28,home_win,True,home_win,True,False
17,2010, Sat 10 Apr 2:10pm,Marvel Stadium,18394,4986,North Melbourne,West Coast,116,91,4986,1587,1784,1515,1789,home_win,25,-25,home_win,True,home_win,True,False
18,2010, Sat 10 Apr 2:40pm,AAMI Stadium,23306,4989,Port Adelaide,Brisbane,81,108,4989,1714,1475,1776,1526,away_win,-27,27,away_win,True,away_win,True,False
19,2010, Sat 10 Apr 7:10pm,SCG,28414,4987,Sydney,Richmond,111,56,4987,1223,1835,1308,2004,home_win,55,-55,home_win,True,home_win,True,False
20,2010, Sat 10 Apr 7:10pm,MCG,71006,4988,Carlton,Essendon,75,95,4988,1682,1416,1828,1471,away_win,-20,20,away_win,True,away_win,True,False
21,2010, Sun 11 Apr 1:10pm,MCG,23335,4990,Melbourne,Adelaide,57,41,4990,1528,1644,1554,1743,home_win,16,-16,home_win,True,home_win,True,False
22,2010, Sun 11 Apr 2:10pm,Marvel Stadium,35933,4991,Western Bulldogs,Hawthorn,100,84,4991,1564,1694,1532,1768,home_win,16,-16,home_win,True,home_win,True,False
23,2010, Sun 11 Apr 2:40pm,Domain Stadium,38762,4992,Fremantle,Geelong,125,118,4992,1677,1453,1725,1576,home_win,7,-7,away_win,False,away_win,False,False
24,2010, Fri 16 Apr 6:40pm,Domain Stadium,38676,5065,West Coast,Essendon,101,78,5065,1479,1570,1550,1751,home_win,23,-23,home_win,True,home_win,True,False
25,2010, Sat 17 Apr 2:10pm,Marvel Stadium,23646,5066,North Melbourne,Sydney,60,100,5066,1580,1330,1805,1493,away_win,-40,40,away_win,True,away_win,True,False
26,2010, Sat 17 Apr 2:40pm,AAMI Stadium,38321,5067,Adelaide,Carlton,55,103,5067,1789,1430,1792,1508,away_win,-48,48,away_win,True,away_win,True,False
27,2010, Sat 17 Apr 7:10pm,MCG,67668,5069,Collingwood,Hawthorn,123,59,5069,1539,1747,1435,1868,home_win,64,-64,home_win,True,home_win,True,False
28,2010, Sat 17 Apr 7:10pm,Gabba,33323,5068,Brisbane,Western Bulldogs,101,79,5068,1378,1612,1527,1780,home_win,22,-22,home_win,True,home_win,True,False
29,2010, Sun 18 Apr 1:10pm,MCG,42594,5070,Richmond,Melbourne,78,133,5070,1792,1389,1880,1418,away_win,-55,55,away_win,True,away_win,True,False
30,2010, Sun 18 Apr 2:10pm,GMHBA Stadium,25579,5071,Geelong,Port Adelaide,159,64,5071,1367,1988,1251,2052,home_win,95,-95,home_win,True,home_win,True,False
31,2010, Sun 18 Apr 4:40pm,Marvel Stadium,29814,5072,St Kilda,Fremantle,108,93,5072,1598,1757,1531,1768,home_win,15,-15,home_win,True,home_win,True,False
32,2010, Fri 23 Apr 7:40pm,Marvel Stadium,26884,4993,Western Bulldogs,Adelaide,121,72,4993,1561,1842,1479,1820,home_win,49,-49,home_win,True,home_win,True,False
33,2010, Sat 24 Apr 2:15pm,SCG,28422,4994,Sydney,West Coast,115,63,4994,1361,1679,1348,1956,home_win,52,-52,home_win,True,home_win,True,False
34,2010, Sat 24 Apr 7:10pm,MCG,36396,4995,Melbourne,Brisbane,103,53,4995,1564,1602,1587,1715,home_win,50,-50,home_win,True,home_win,True,False
35,2010, Sat 24 Apr 7:15pm,AAMI Stadium,23355,4996,Port Adelaide,St Kilda,54,44,4996,1610,1767,1549,1754,home_win,10,-10,home_win,True,home_win,True,False
36,2010, Sun 25 Apr 2:40pm,MCG,90070,4997,Collingwood,Essendon,120,55,4997,1504,1714,1440,1859,home_win,65,-65,home_win,True,home_win,True,False
37,2010, Sun 25 Apr 5:40pm,UTAS Stadium,16301,4998,Hawthorn,North Melbourne,70,82,4998,1467,1585,1590,1713,away_win,-12,12,home_win,False,home_win,False,False
38,2010, Sun 25 Apr 6:45pm,Domain Stadium,38010,4999,Fremantle,Richmond,112,73,4999,1378,1503,1541,1762,home_win,39,-39,home_win,True,home_win,True,False
39,2010, Mon 26 Apr 2:10pm,MCG,71399,5000,Carlton,Geelong,104,68,5000,1379,1592,1466,1833,home_win,36,-36,home_win,True,home_win,True,False
40,2010, Fri 30 Apr 7:40pm,Marvel Stadium,43072,5113,Western Bulldogs,St Kilda,46,49,5113,1666,1984,1630,1674,away_win,-3,3,home_win,False,home_win,False,False
41,2010, Sat 1 May 2:10pm,Marvel Stadium,26763,5114,North Melbourne,Melbourne,104,78,5114,1731,1529,1646,1658,home_win,26,-26,home_win,True,away_win,False,True
42,2010, Sat 1 May 2:40pm,AAMI Stadium,40371,5115,Adelaide,Port Adelaide,74,97,5115,1592,1561,1702,1598,away_win,-23,23,away_win,True,away_win,True,False
43,2010, Sat 1 May 7:10pm,SCG,30975,5117,Sydney,Brisbane,107,87,5117,1418,1464,1530,1770,home_win,20,-20,home_win,True,home_win,True,False
44,2010, Sat 1 May 7:10pm,MCG,61006,5116,Essendon,Hawthorn,106,63,5116,1328,1986,1321,1976,home_win,43,-43,home_win,True,home_win,True,False
45,2010, Sun 2 May 1:10pm,GMHBA Stadium,24106,5118,Geelong,Richmond,161,53,5118,1372,1945,1296,2004,home_win,108,-108,home_win,True,home_win,True,False
46,2010, Sun 2 May 2:10pm,MCG,80645,5119,Carlton,Collingwood,102,155,5119,1692,1660,1684,1621,away_win,-53,53,away_win,True,away_win,True,False
47,2010, Sun 2 May 2:40pm,Domain Stadium,40886,5120,West Coast,Fremantle,73,111,5120,1549,1435,1699,1602,away_win,-38,38,away_win,True,away_win,True,False
48,2010, Fri 7 May 7:40pm,MCG,45444,4977,Melbourne,Western Bulldogs,66,70,4977,1575,1648,1604,1701,away_win,-4,4,home_win,False,home_win,False,False
49,2010, Sat 8 May 1:10pm,Domain Stadium,35864,4978,West Coast,Hawthorn,102,94,4978,1472,1476,1587,1718,home_win,8,-8,home_win,True,home_win,True,False
50,2010, Sat 8 May 2:10pm,Marvel Stadium,29248,4979,Essendon,Port Adelaide,106,109,4979,1605,1781,1606,1697,away_win,-3,3,home_win,False,home_win,False,False
51,2010, Sat 8 May 7:10pm,Gabba,27739,4980,Brisbane,Fremantle,100,113,4980,1645,1450,1801,1504,away_win,-13,13,away_win,True,away_win,True,False
52,2010, Sat 8 May 7:10pm,MCG,52696,4981,Collingwood,North Melbourne,157,91,4981,1580,1838,1436,1865,home_win,66,-66,home_win,True,home_win,True,False
53,2010, Sun 9 May 1:10pm,GMHBA Stadium,25970,4982,Geelong,Sydney,126,59,4982,1330,1825,1395,1908,home_win,67,-67,home_win,True,home_win,True,False
54,2010, Sun 9 May 4:10pm,AAMI Stadium,31196,4983,Adelaide,Richmond,104,54,4983,1471,1660,1559,1744,home_win,50,-50,home_win,True,home_win,True,False
55,2010, Mon 10 May 7:20pm,Marvel Stadium,42866,4984,St Kilda,Carlton,68,129,4984,1893,1405,1906,1393,away_win,-61,61,away_win,True,away_win,True,False
56,2010, Fri 14 May 6:40pm,Domain Stadium,41624,5009,Fremantle,Collingwood,97,133,5009,1695,1553,1847,1453,away_win,-36,36,away_win,True,away_win,True,False
57,2010, Sat 15 May 2:10pm,Canberra Oval,14308,5011,Western Bulldogs,Sydney,101,63,5011,1343,1653,1447,1856,home_win,38,-38,home_win,True,home_win,True,False
58,2010, Sat 15 May 2:10pm,MCG,28592,5010,Melbourne,West Coast,46,75,5010,1735,1489,1712,1590,away_win,-29,29,away_win,True,away_win,True,False
59,2010, Sat 15 May 7:10pm,Marvel Stadium,16479,5013,North Melbourne,Adelaide,84,75,5013,1884,1720,1610,1686,home_win,9,-9,home_win,True,away_win,False,True
60,2010, Sat 15 May 7:10pm,Gabba,33629,5012,Brisbane,Geelong,74,155,5012,1987,1383,1975,1325,away_win,-81,81,away_win,True,away_win,True,False
61,2010, Sun 16 May 1:10pm,MCG,41563,5014,Richmond,Hawthorn,86,89,5014,1425,1516,1648,1659,away_win,-3,3,home_win,False,home_win,False,False
62,2010, Sun 16 May 2:40pm,AAMI Stadium,30228,5015,Port Adelaide,Carlton,92,118,5015,1775,1358,1821,1481,away_win,-26,26,away_win,True,away_win,True,False
63,2010, Sun 16 May 4:40pm,Marvel Stadium,39204,5016,St Kilda,Essendon,81,93,5016,1450,1662,1597,1706,away_win,-12,12,home_win,False,home_win,False,False
