"","scores","urls","ID"
"1","64-97","ft_match_statistics?mid","9721"
"2","65-72","ft_match_statistics?mid","9722"
"3","61-87","ft_match_statistics?mid","9723"
"4","55-87","ft_match_statistics?mid","9724"
"5","102-58","ft_match_statistics?mid","9726"
"6","82-65","ft_match_statistics?mid","9725"
"7","85-84","ft_match_statistics?mid","9727"
"8","112-40","ft_match_statistics?mid","9728"
"9","141-59","ft_match_statistics?mid","9729"
"10","66-110","ft_match_statistics?mid","9730"
"11","62-88","ft_match_statistics?mid","9731"
"12","65-76","ft_match_statistics?mid","9732"
"13","88-72","ft_match_statistics?mid","9733"
"14","104-52","ft_match_statistics?mid","9735"
"15","126-46","ft_match_statistics?mid","9734"
"16","87-107","ft_match_statistics?mid","9736"
"17","87-106","ft_match_statistics?mid","9737"
"18","61-58","ft_match_statistics?mid","9738"
"19","75-99","ft_match_statistics?mid","9739"
"20","112-130","ft_match_statistics?mid","9740"
"21","74-93","ft_match_statistics?mid","9741"
"22","125-76","ft_match_statistics?mid","9742"
"23","107-90","ft_match_statistics?mid","9743"
"24","76-98","ft_match_statistics?mid","9744"
"25","68-73","ft_match_statistics?mid","9745"
"26","87-71","ft_match_statistics?mid","9746"
"27","71-66","ft_match_statistics?mid","9747"
"28","78-100","ft_match_statistics?mid","9748"
"29","78-64","ft_match_statistics?mid","9749"
"30","75-79","ft_match_statistics?mid","9750"
"31","112-65","ft_match_statistics?mid","9751"
"32","92-99","ft_match_statistics?mid","9752"
"33","69-56","ft_match_statistics?mid","9754"
"34","71-59","ft_match_statistics?mid","9753"
"35","59-57","ft_match_statistics?mid","9755"
"36","74-69","ft_match_statistics?mid","9756"
"37","61-123","ft_match_statistics?mid","9757"
"38","58-116","ft_match_statistics?mid","9758"
"39","53-95","ft_match_statistics?mid","9759"
"40","82-106","ft_match_statistics?mid","9760"
"41","55-95","ft_match_statistics?mid","9761"
"42","89-67","ft_match_statistics?mid","9762"
"43","57-101","ft_match_statistics?mid","9763"
"44","119-46","ft_match_statistics?mid","9764"
"45","90-113","ft_match_statistics?mid","9765"
"46","85-42","ft_match_statistics?mid","9766"
"47","69-73","ft_match_statistics?mid","9767"
"48","88-72","ft_match_statistics?mid","9768"
"49","62-111","ft_match_statistics?mid","9769"
"50","68-97","ft_match_statistics?mid","9770"
"51","88-69","ft_match_statistics?mid","9772"
"52","79-120","ft_match_statistics?mid","9771"
"53","93-88","ft_match_statistics?mid","9773"
"54","104-46","ft_match_statistics?mid","9774"
"55","108-69","ft_match_statistics?mid","9775"
"56","79-74","ft_match_statistics?mid","9776"
"57","114-70","ft_match_statistics?mid","9777"
"58","103-81","ft_match_statistics?mid","9778"
